iter	Passed	Remaining
0	0	87
1	1	88
2	2	94
3	3	88
4	4	87
5	5	88
6	6	90
7	7	90
8	8	89
9	9	88
10	10	85
11	11	82
12	11	79
13	12	77
14	13	76
15	14	75
16	15	73
17	15	71
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	30	55
36	31	53
37	32	53
38	33	52
39	34	51
40	35	50
41	35	48
42	36	47
43	36	46
44	37	45
45	38	44
46	39	43
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	13
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
